fips5,county_name,state_alpha,state_name,year,short_desc,domain_desc,croplandArea_ha,croplandArea_acres
01001,AUTAUGA,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,19859.166329421285,49072
01001,AUTAUGA,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,20900.445163901255,51645
01001,AUTAUGA,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,17138.405503844595,42349
01001,AUTAUGA,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,16711.048158640227,41293
01001,AUTAUGA,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,14929.178470254958,36890
01001,AUTAUGA,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,14370.29542695265,35509
01003,BALDWIN,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,51226.628895184134,126581
01003,BALDWIN,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,43855.9287737758,108368
01003,BALDWIN,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,41698.09793605827,103036
01003,BALDWIN,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,40834.07527316875,100901
01003,BALDWIN,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,44693.64629704573,110438
01003,BALDWIN,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,42162.68717118575,104184
01005,BARBOUR,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,26487.252124645893,65450
01005,BARBOUR,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,27044.11169566977,66826
01005,BARBOUR,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,23040.87414002428,56934
01005,BARBOUR,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,16714.285714285714,41301
01005,BARBOUR,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,15096.721974908944,37304
01005,BARBOUR,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,22434.23715095103,55435
01007,BIBB,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,6838.931606636989,16899
01007,BIBB,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,6184.945366248482,15283
01007,BIBB,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,3488.0615135572643,8619
01007,BIBB,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,5102.387697288547,12608
01007,BIBB,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,6403.480372318899,15823
01007,BIBB,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,4622.824767300688,11423
01009,BLOUNT,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,32242.0072845002,79670
01009,BLOUNT,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,25504.2492917847,63021
01009,BLOUNT,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,18913.395386483204,46735
01009,BLOUNT,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,15033.184945366247,37147
01009,BLOUNT,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,17722.78429785512,43793
01009,BLOUNT,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,16410.764872521246,40551
01011,BULLOCK,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,25152.97450424929,62153
01011,BULLOCK,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,12044.516390125455,29762
01011,BULLOCK,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,13325.779036827194,32928
01011,BULLOCK,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,10570.214488061512,26119
01011,BULLOCK,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,8081.343585592877,19969
01011,BULLOCK,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,11806.151355726426,29173
01013,BUTLER,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,15537.43423715095,38393
01013,BUTLER,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,11304.33023067584,27933
01013,BUTLER,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,10214.488061513557,25240
01013,BUTLER,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,8622.015378389317,21305
01013,BUTLER,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,7169.971671388102,17717
01013,BUTLER,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,6573.047349251315,16242
01015,CALHOUN,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,16939.295831647105,41857
01015,CALHOUN,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,13428.166734115743,33181
01015,CALHOUN,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,10503.844597329016,25955
01015,CALHOUN,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,8643.059490084985,21357
01015,CALHOUN,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,11521.651153379198,28470
01015,CALHOUN,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,8779.441521651153,21694
01017,CHAMBERS,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,11725.212464589235,28973
01017,CHAMBERS,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,10125.050586806961,25019
01017,CHAMBERS,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,5801.295022258195,14335
01017,CHAMBERS,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,6185.7547551598545,15285
01017,CHAMBERS,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,5053.014973694861,12486
01017,CHAMBERS,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,9091.460946985026,22465
01019,CHEROKEE,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,29446.37798462161,72762
01019,CHEROKEE,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,25305.544314042898,62530
01019,CHEROKEE,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,23604.208822339133,58326
01019,CHEROKEE,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,23796.438688789964,58801
01019,CHEROKEE,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,29462.16106839336,72801
01019,CHEROKEE,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,34094.69850263051,84248
01021,CHILTON,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,19576.68959935249,48374
01021,CHILTON,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,16292.998785916632,40260
01021,CHILTON,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,11665.7223796034,28826
01021,CHILTON,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,9598.54309995953,23718
01021,CHILTON,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,8901.254552812627,21995
01021,CHILTON,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,7514.366653176851,18568
01023,CHOCTAW,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,7196.681505463375,17783
01023,CHOCTAW,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,5478.348846620801,13537
01023,CHOCTAW,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,3747.8753541076485,9261
01023,CHOCTAW,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,3255.766895993525,8045
01023,CHOCTAW,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,2678.267907729664,6618
01023,CHOCTAW,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,3534.601375961149,8734
01025,CLARKE,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,7171.9951436665315,17722
01025,CLARKE,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,5902.87333063537,14586
01025,CLARKE,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,4277.620396600566,10570
01025,CLARKE,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,3131.525698097936,7738
01025,CLARKE,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,4524.888709024686,11181
01025,CLARKE,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,4822.743828409551,11917
01027,CLAY,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,13073.249696479157,32304
01027,CLAY,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,9815.054633751517,24253
01027,CLAY,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,5752.326993120194,14214
01027,CLAY,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,5265.074868474302,13010
01027,CLAY,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,4941.319303925536,12210
01027,CLAY,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,7242.007284500202,17895
01029,CLEBURNE,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,8459.328207203562,20903
01029,CLEBURNE,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,5821.529745042492,14385
01029,CLEBURNE,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,4946.985026305139,12224
01029,CLEBURNE,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,3124.241197895589,7720
01029,CLEBURNE,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,3621.61068393363,8949
01029,CLEBURNE,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,3384.459732901659,8363
01031,COFFEE,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,38883.852691218126,96082
01031,COFFEE,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,37281.66734115742,92123
01031,COFFEE,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,32662.48482395791,80709
01031,COFFEE,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,34583.16471064346,85455
01031,COFFEE,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,26004.85633346823,64258
01031,COFFEE,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,23003.237555645486,56841
01033,COLBERT,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,29392.958316471064,72630
01033,COLBERT,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,28091.460946985026,69414
01033,COLBERT,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,24292.998785916632,60028
01033,COLBERT,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,26581.545932820718,65683
01033,COLBERT,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,34718.73735329826,85790
01033,COLBERT,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,23443.140428976123,57928
01035,CONECUH,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,14578.713071630918,36024
01035,CONECUH,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,10200.728450020235,25206
01035,CONECUH,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,9183.326588425738,22692
01035,CONECUH,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,8126.669364629704,20081
01035,CONECUH,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,10786.7260218535,26654
01035,CONECUH,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,8970.05261027924,22165
01037,COOSA,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,6574.666127074059,16246
01037,COOSA,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,4571.023876972885,11295
01037,COOSA,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,3425.7385673816266,8465
01037,COOSA,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,1743.828409550789,4309
01037,COOSA,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,2087.0093079724807,5157
01037,COOSA,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,1532.1732092270336,3786
01039,COVINGTON,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,33885.876163496556,83732
01039,COVINGTON,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,33047.34925131525,81660
01039,COVINGTON,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,25941.319303925535,64101
01039,COVINGTON,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,26488.061513557263,65452
01039,COVINGTON,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,21959.93524888709,54263
01039,COVINGTON,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,20161.473087818697,49819
01041,CRENSHAW,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,20613.921489275595,50937
01041,CRENSHAW,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,16560.906515580737,40922
01041,CRENSHAW,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,13557.668959935248,33501
01041,CRENSHAW,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,11741.400242816673,29013
01041,CRENSHAW,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,9557.264265479562,23616
01041,CRENSHAW,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,8657.62849048968,21393
01043,CULLMAN,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,49574.66612707406,122499
01043,CULLMAN,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,45757.58802104411,113067
01043,CULLMAN,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,35513.55726426548,87754
01043,CULLMAN,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,23630.109267503034,58390
01043,CULLMAN,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,24636.989073249697,60878
01043,CULLMAN,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,24499.797652772155,60539
01045,DALE,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,26823.148522865235,66280
01045,DALE,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,25240.793201133143,62370
01045,DALE,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,21921.084581141236,54167
01045,DALE,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,20064.346418454068,49579
01045,DALE,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,21248.887090246862,52506
01045,DALE,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,18356.535815459327,45359
01047,DALLAS,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,42687.98057466612,105482
01047,DALLAS,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,33611.89801699717,83055
01047,DALLAS,AL,ALABAMA,2007,"AG LAND, CROPLAND - ACRES",TOTAL,33622.420072845,83081
01047,DALLAS,AL,ALABAMA,2012,"AG LAND, CROPLAND - ACRES",TOTAL,31082.96236341562,76806
01047,DALLAS,AL,ALABAMA,2017,"AG LAND, CROPLAND - ACRES",TOTAL,31038.85066774585,76697
01047,DALLAS,AL,ALABAMA,2022,"AG LAND, CROPLAND - ACRES",TOTAL,30947.79441521651,76472
01049,DE KALB,AL,ALABAMA,1997,"AG LAND, CROPLAND - ACRES",TOTAL,54565.35815459328,134831
01049,DE KALB,AL,ALABAMA,2002,"AG LAND, CROPLAND - ACRES",TOTAL,51253.338729259405,126647
