fips5,county_name,state_alpha,state_name,year,short_desc,domain_desc,irrArea_acres,irrArea_ha
01001,AUTAUGA,AL,ALABAMA,1997,"AG LAND, IRRIGATED - ACRES",TOTAL,254,102.7923917442331
01001,AUTAUGA,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,928,375.5564548765682
01001,AUTAUGA,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,1157,468.23148522865233
01001,AUTAUGA,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,1555,629.2998785916633
01001,AUTAUGA,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,1411,571.0238769728854
01001,AUTAUGA,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,1939,784.7025495750707
01003,BALDWIN,AL,ALABAMA,1997,"AG LAND, IRRIGATED - ACRES",TOTAL,8276,3349.251315256981
01003,BALDWIN,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,11238,4547.956292998786
01003,BALDWIN,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,10159,4111.290975313638
01003,BALDWIN,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,7678,3107.2440307567786
01003,BALDWIN,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,7429,3006.4751112909753
01003,BALDWIN,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,16375,6626.871711857547
01005,BARBOUR,AL,ALABAMA,1997,"AG LAND, IRRIGATED - ACRES",TOTAL,1402,567.3816268717119
01005,BARBOUR,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,4912,1987.8591663294212
01005,BARBOUR,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,2785,1127.0740590853904
01005,BARBOUR,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,2301,931.2019425333873
01005,BARBOUR,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,3600,1456.9000404694455
01005,BARBOUR,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,7849,3176.4467826790774
01007,BIBB,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,31,12.545528126264669
01007,BIBB,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,164,66.36989073249697
01007,BIBB,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,55,22.25819506272764
01007,BIBB,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,78,31.56616754350465
01007,BIBB,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,118,47.753945770942934
01009,BLOUNT,AL,ALABAMA,1997,"AG LAND, IRRIGATED - ACRES",TOTAL,444,179.68433832456495
01009,BLOUNT,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,603,244.0307567786321
01009,BLOUNT,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,568,229.86645082962363
01009,BLOUNT,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,516,208.82233913395385
01009,BLOUNT,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,935,378.3893160663699
01009,BLOUNT,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,927,375.1517604208822
01011,BULLOCK,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,866,350.4653986240388
01011,BULLOCK,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,1399,566.167543504654
01011,BULLOCK,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,120,48.56333468231485
01011,BULLOCK,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,212,85.7952246054229
01013,BUTLER,AL,ALABAMA,1997,"AG LAND, IRRIGATED - ACRES",TOTAL,133,53.82436260623229
01013,BUTLER,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,5,2.0234722784297854
01013,BUTLER,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,71,28.733306353702954
01013,BUTLER,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,18,7.284500202347227
01013,BUTLER,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,550,222.5819506272764
01013,BUTLER,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,115,46.53986240388507
01015,CALHOUN,AL,ALABAMA,1997,"AG LAND, IRRIGATED - ACRES",TOTAL,801,324.16025900445163
01015,CALHOUN,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,1586,641.845406717928
01015,CALHOUN,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,1729,699.7167138810198
01015,CALHOUN,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,922,373.12828814245245
01015,CALHOUN,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,1058,428.1667341157426
01015,CALHOUN,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,1375,556.454876568191
01017,CHAMBERS,AL,ALABAMA,1997,"AG LAND, IRRIGATED - ACRES",TOTAL,209,84.58114123836503
01017,CHAMBERS,AL,ALABAMA,2002,"AG LAND, IRRIGATED - ACRES",TOTAL,257,104.00647511129097
01017,CHAMBERS,AL,ALABAMA,2007,"AG LAND, IRRIGATED - ACRES",TOTAL,338,136.7867260218535
01017,CHAMBERS,AL,ALABAMA,2012,"AG LAND, IRRIGATED - ACRES",TOTAL,73,29.54269526507487
01017,CHAMBERS,AL,ALABAMA,2017,"AG LAND, IRRIGATED - ACRES",TOTAL,158,63.94172399838122
01017,CHAMBERS,AL,ALABAMA,2022,"AG LAND, IRRIGATED - ACRES",TOTAL,163,65.965196276811
